Title,LEARNING ITEM,APP
,https://trailhead.salesforce.com/en/content/learn/modules/virtual-meeting-setup-quick-look,All
,https://trailhead.salesforce.com/en/content/learn/modules/manage_the_sfdc_way_virtual_collaboration,All
,https://trailhead.salesforce.com/en/content/learn/modules/virtual-whiteboarding-quick-look,All
,https://trailhead.salesforce.com/en/content/learn/modules/effective-emails-quick-look,All
,https://trailhead.salesforce.com/content/learn/modules/relationship-building,All
,https://trailhead.salesforce.com/content/learn/modules/emotional-intelligence,All
,https://trailhead.salesforce.com/content/learn/modules/fearless-teaming-ext,All
