Title,LEARNING ITEM,APP
,https://play.vidyard.com/LfY-yg0tw_0A2YeLn42lsw.html (video),All
,https://play.vidyard.com/U8jqq2qhfD8TxXL7Nj92Eg.html (video),All
,https://play.vidyard.com/4ahjpdBTNWZ5EgZds9dJf1.html (video),All
,https://trailhead.salesforce.com/en/content/learn/modules/trailhead-quick-look,All
,https://trailhead.salesforce.com/en/content/learn/modules/lex_salesforce_basics,All
,https://trailhead.salesforce.com/content/learn/modules/lex_salesforce_tour,All
,https://trailhead.salesforce.com/en/content/learn/modules/lex_implementation_basics,All
