LEARNING ITEM,APP
https://trailhead.salesforce.com/content/learn/modules/servicecloud-quick-look,Service
https://trailhead.salesforce.com/content/learn/modules/service-cloud-agent-experience,Service Console
https://trailhead.salesforce.com/content/learn/modules/communication-skills-for-customer-service-agents,Service
